date    ,name           ,long.         
15.06.1903,Saturn         , 308.8087054
15.06.1903,Uranus         , 263.6854644
15.06.1903,Neptune        , 93.0009912
15.06.1903,Pluto          , 79.2596964
29.06.1903,Jupiter        , 352.9374771
29.06.1903,Saturn         , 308.1326194
29.06.1903,Uranus         , 263.1189535
29.06.1903,Neptune        , 93.5205835
29.06.1903,Pluto          , 79.5822671
13.07.1903,Jupiter        , 353.3057468
13.07.1903,Saturn         , 307.2492496
13.07.1903,Uranus         , 262.5949441
13.07.1903,Neptune        , 94.0360169
13.07.1903,Pluto          , 79.8864851
27.07.1903,Jupiter        , 353.0398647
27.07.1903,Saturn         , 306.2418888
27.07.1903,Uranus         , 262.1547539
27.07.1903,Neptune        , 94.5263528
27.07.1903,Pluto          , 80.1588358
10.08.1903,Jupiter        , 352.1582218
10.08.1903,Saturn         , 305.2096937
10.08.1903,Uranus         , 261.8340725
10.08.1903,Neptune        , 94.9706344
10.08.1903,Pluto          , 80.3863281
24.08.1903,Jupiter        , 350.7550530
24.08.1903,Saturn         , 304.2544423
24.08.1903,Uranus         , 261.6583088
24.08.1903,Neptune        , 95.3501884
24.08.1903,Pluto          , 80.5584884
07.09.1903,Jupiter        , 349.0064165
07.09.1903,Saturn         , 303.4711584
07.09.1903,Uranus         , 261.6441566
07.09.1903,Neptune        , 95.6475553
07.09.1903,Pluto          , 80.6665046
21.09.1903,Jupiter        , 347.1578740
21.09.1903,Saturn         , 302.9346464
21.09.1903,Uranus         , 261.7968307
21.09.1903,Neptune        , 95.8493160
21.09.1903,Pluto          , 80.7052800
05.10.1903,Jupiter        , 345.4794528
05.10.1903,Saturn         , 302.6972135
05.10.1903,Uranus         , 262.1134697
05.10.1903,Neptune        , 95.9452622
05.10.1903,Pluto          , 80.6726232
19.10.1903,Jupiter        , 344.2103444
19.10.1903,Saturn         , 302.7832100
19.10.1903,Uranus         , 262.5814616
19.10.1903,Neptune        , 95.9314960
19.10.1903,Pluto          , 80.5711501
02.11.1903,Jupiter        , 343.5182359
02.11.1903,Saturn         , 303.1957223
02.11.1903,Uranus         , 263.1825224
02.11.1903,Neptune        , 95.8095339
02.11.1903,Pluto          , 80.4071938
16.11.1903,Jupiter        , 343.4832658
16.11.1903,Saturn         , 303.9163216
16.11.1903,Uranus         , 263.8912756
16.11.1903,Neptune        , 95.5890758
16.11.1903,Pluto          , 80.1921457
30.11.1903,Jupiter        , 344.1133061
30.11.1903,Saturn         , 304.9146682
30.11.1903,Uranus         , 264.6792733
30.11.1903,Neptune        , 95.2861466
30.11.1903,Pluto          , 79.9406209
14.12.1903,Jupiter        , 345.3623992
14.12.1903,Saturn         , 306.1481613
14.12.1903,Uranus         , 265.5136008
14.12.1903,Neptune        , 94.9245579
14.12.1903,Pluto          , 79.6709128
28.12.1903,Jupiter        , 347.1585572
28.12.1903,Saturn         , 307.5703824
28.12.1903,Uranus         , 266.3605735
28.12.1903,Neptune        , 94.5322410
28.12.1903,Pluto          , 79.4022725
11.01.1904,Jupiter        , 349.4150545
11.01.1904,Saturn         , 309.1289331
11.01.1904,Uranus         , 267.1847786
11.01.1904,Neptune        , 94.1410611
11.01.1904,Pluto          , 79.1547108
25.01.1904,Jupiter        , 352.0466561
25.01.1904,Saturn         , 310.7721545
25.01.1904,Uranus         , 267.9523764
25.01.1904,Neptune        , 93.7817824
25.01.1904,Pluto          , 78.9459532
08.02.1904,Jupiter        , 354.9691885
08.02.1904,Saturn         , 312.4455253
08.02.1904,Uranus         , 268.6304643
08.02.1904,Neptune        , 93.4834191
08.02.1904,Pluto          , 78.7914103
22.02.1904,Jupiter        , 358.1077605
22.02.1904,Saturn         , 314.0974997
22.02.1904,Uranus         , 269.1905774
22.02.1904,Neptune        , 93.2686368
22.02.1904,Pluto          , 78.7017131
07.03.1904,Jupiter        ,  1.3911196
07.03.1904,Saturn         , 315.6750110
07.03.1904,Uranus         , 269.6082836
07.03.1904,Neptune        , 93.1543423
07.03.1904,Pluto          , 78.6835366
21.03.1904,Jupiter        ,  4.7569348
21.03.1904,Saturn         , 317.1289810
21.03.1904,Uranus         , 269.8665965
21.03.1904,Neptune        , 93.1488954
21.03.1904,Pluto          , 78.7381569
04.04.1904,Jupiter        ,  8.1443922
04.04.1904,Saturn         , 318.4101082
04.04.1904,Uranus         , 269.9558581
04.04.1904,Neptune        , 93.2543524
04.04.1904,Pluto          , 78.8630880
18.04.1904,Jupiter        , 11.4988828
18.04.1904,Saturn         , 319.4746716
18.04.1904,Uranus         , 269.8766085
18.04.1904,Neptune        , 93.4652831
18.04.1904,Pluto          , 79.0514198
